id,street,street2,city,state,zipcode,country,latitude,longitude
35,"8649 Birch Dogwood",,"San Jose",CA,40640,USA,37.27977131569811,-121.70715982754194
36,"2486 Willow Sequoia",,"San Antonio",TX,74892,USA,29.484998137658604,-98.58817445320099
37,"4981 Birch Pine",,Boston,MA,45228,USA,42.33501986575686,-71.02072128329
38,"6230 Cedar Teak",,"Fort Worth",TX,10064,USA,32.67183186500394,-97.07315527944297
39,"6887 Linden Alder",,Seattle,WA,56760,USA,47.59611644130151,-122.20365065688867
40,"9992 Silk Tamarack",,Charlotte,NC,69725,USA,35.17328790763588,-80.61744907267753
41,"134 Cypress Palm",,"San Jose",CA,78284,USA,37.21149003815259,-121.70264010064362
42,"4507 Maple Oak",,Seattle,WA,09769,USA,47.60227128774771,-122.47765230390387
43,"8684 Mahogany Palm",,"San Antonio",TX,05172,USA,29.40878525735707,-98.25543491899374
44,"8385 Oak Pewter",,Columbus,OH,49831,USA,39.95695600965695,-82.84954343080067
45,"3616 Olive Redwood",,"Los Angeles",CA,68777,USA,33.649921244848386,-118.4048191277676
46,"1470 Laurel Yew",,Houston,TX,41432,USA,29.815664648454813,-95.52042363033554
47,"5844 Mango Silk",,Charlotte,NC,63062,USA,35.241687258392716,-80.76974152984639
48,"3863 Holly Beech",,"New York",NY,31623,USA,40.6385469237933,-73.93815805552099
49,"5940 Ironwood Fir",,Nashville,TN,47583,USA,36.29263823586277,-86.76504014197809
50,"1309 Sequoia Redwood",,Detroit,MI,47778,USA,42.5892301088861,-83.06997317975335
51,"2010 Spruce Pear",,Charlotte,NC,59837,USA,35.44313585876208,-80.70090020123179
52,"5032 Basswood Birch",,Denver,CO,18134,USA,39.9696622287947,-104.72299657116656
53,"1840 Pear Pear",,"San Jose",CA,65020,USA,37.2430713884472,-121.81804670565198
54,"3918 Larch Laurel",,"New York",NY,01450,USA,40.82462029484664,-73.91406620707679
55,"6715 Ash Cedar",,"San Francisco",CA,90316,USA,37.88735839637222,-122.92705594203092
56,"4107 Pear Beech",,"Los Angeles",CA,65280,USA,33.93935202252724,-118.63378657942158
57,"1761 Sycamore Juniper",,Boston,MA,10436,USA,42.352288694061095,-71.03051787007435
58,"4296 Aspen Yew",,Nashville,TN,04019,USA,36.08197495610402,-86.99625721025858
59,"5695 Pewter Cypress",,Memphis,TN,28855,USA,35.14906888285033,-89.89823609183603
60,"3922 Cypress Teak",,Charlotte,NC,19833,USA,35.37294623540145,-80.76982555896318
61,"7243 Plum Sycamore",,"Fort Worth",TX,32783,USA,32.99976418122793,-97.30653824040944
62,"857 Yew Hickory",,"Fort Worth",TX,04219,USA,32.69776218643524,-97.49050304391034
63,"1247 Ironwood Sycamore",,Washington,DC,45920,USA,38.83741180366051,-76.97945695934148
64,"9346 Plum Willow",,Indianapolis,IN,18559,USA,39.80304524553432,-85.99449697791087
65,"593 Pewter Mahogany",,"New York",NY,85221,USA,40.57109843859468,-74.07533871997869
66,"8518 Ironwood Yew",,Phoenix,AZ,14507,USA,33.414669019366606,-112.18150277005579
67,"3104 Pewter Zelkova",,Houston,TX,68882,USA,29.735832623826436,-95.15694116238545
68,"7462 Elm Pewter",,Jacksonville,FL,48408,USA,30.501930362979802,-81.53594692796818
69,"8652 Basswood Zelkova",,Detroit,MI,21489,USA,42.3089136913271,-83.02862335813127
70,"9190 Holly Blackwood",,Indianapolis,IN,68046,USA,39.82684193016764,-85.96661867530169
71,"1816 Linden Aspen",,"San Antonio",TX,82786,USA,29.35420000217816,-98.4257315796863
72,"6026 Redwood Larch",,Seattle,WA,94670,USA,47.41888802669867,-122.40421169761233
73,"2128 Dogwood Ironwood",,"San Jose",CA,17247,USA,37.48933346132004,-121.77510628708264
74,"6990 Cedar Walnut",,"Fort Worth",TX,54240,USA,33.03867555536179,-97.42277314930396
75,"5991 Dogwood Elm",,Denver,CO,54479,USA,39.748484303920165,-105.07213436436082
76,"327 Willow Yew",,Indianapolis,IN,37927,USA,40.089489928959914,-85.80589726540272
77,"424 Plum Zelkova",,"San Antonio",TX,78393,USA,29.402013526077855,-98.32071286364794
78,"3877 Silk Larch",,Washington,DC,93279,USA,38.90606184290767,-76.99884988954261
79,"9447 Olive Hickory",,"San Antonio",TX,25532,USA,29.42431294863182,-98.48985533180407
80,"1276 Aspen Blackwood",,"Fort Worth",TX,23291,USA,32.89943504610397,-97.00065314577601
81,"2429 Alder Palm",,Philadelphia,PA,75361,USA,39.95077565904242,-75.15557401777053
82,"4867 Tamarack Maple",,Phoenix,AZ,82703,USA,33.47477734722024,-111.92931137066611
83,"8672 Hickory Linden",,Houston,TX,62115,USA,29.5878784353494,-95.79603876103927
84,"7302 Sequoia Mango",,"El Paso",TX,36942,USA,31.74669722476923,-106.58129765905464
85,"708 Basswood Teak",,Columbus,OH,24979,USA,40.02505003318614,-83.058928046348
86,"4615 Mango Holly",,"New York",NY,98795,USA,40.57241178900886,-74.17924940846035
87,"3643 Sycamore Yew",,"San Diego",CA,24338,USA,32.738782872718154,-117.07039585305199
88,"5932 Beech Aspen",,"San Antonio",TX,85676,USA,29.207727840209007,-98.41796581811604
89,"9016 Pine Yew",,"San Diego",CA,23107,USA,32.78774023909051,-117.12793752724711
90,"4251 Walnut Ironwood",,Columbus,OH,04009,USA,39.911788225596204,-82.79738804368782
91,"3119 Spruce Ash",,"Fort Worth",TX,11681,USA,32.723409358911425,-97.23235718432606
92,"362 Balsam Cypress",,"Fort Worth",TX,76250,USA,33.018325675302364,-97.32805069785758
93,"3191 Hickory Basswood",,Nashville,TN,75496,USA,36.298834919526826,-86.76779555491653
94,"6684 Ironwood Pear",,Austin,TX,60026,USA,30.29387995089284,-98.02631624010309
95,"9169 Teak Blackwood",,Denver,CO,73093,USA,39.83284058246526,-104.83356886303105
96,"4669 Poplar Pear",,Memphis,TN,38534,USA,35.27053697773534,-90.06125200258496
97,"2502 Elm Willow",,Columbus,OH,34879,USA,40.001406579976994,-82.90887509790007
98,"9088 Birch Maple",,Memphis,TN,39681,USA,35.0747734334164,-89.83702975374055
99,"2914 Pine Larch",,Boston,MA,99902,USA,42.47851896068746,-70.9313530988203
100,"8900 Fir Sequoia",,Philadelphia,PA,80855,USA,40.067622583933506,-75.11192577278788
101,"6507 Poplar Palm",,"El Paso",TX,87982,USA,31.802372108245454,-106.20033363226445
102,"9437 Redwood Laurel",,Washington,DC,44139,USA,38.94808181780503,-77.0880086635185
103,"881 Blackwood Holly",,Dallas,TX,40336,USA,32.74658878263068,-96.57901891322484
104,"9919 Birch Hickory",,"San Francisco",CA,03874,USA,38.00568655043887,-122.50267777526126
105,"7870 Teak Sequoia",,Chicago,IL,29898,USA,42.05780327296656,-87.65784677740827
106,"4193 Spruce Plum",,Philadelphia,PA,98418,USA,40.099792012034136,-74.9208442545737
107,"5481 Maple Poplar",,Seattle,WA,62149,USA,47.74880481968379,-122.14716271104814
108,"5694 Aspen Blackwood",,Philadelphia,PA,17341,USA,39.975793991252516,-75.23505522207843
109,"1815 Dogwood Cypress",,Houston,TX,75335,USA,30.018377113404725,-95.368257065581
110,"5493 Cypress Hemlock",,"Fort Worth",TX,50065,USA,32.68347098535037,-97.15647243950497
111,"7921 Elm Laurel",,Nashville,TN,71806,USA,36.22146170073313,-86.7986425130264
112,"7835 Basswood Walnut",,Columbus,OH,71732,USA,39.968515903958505,-82.93323740047225
113,"6640 Walnut Ironwood",,Nashville,TN,65283,USA,36.05960563036833,-86.78342361818679
114,"8357 Holly Sequoia",,Chicago,IL,97475,USA,41.747010654694996,-87.96469193665983
115,"6486 Magnolia Cypress",,Washington,DC,03223,USA,38.9173103366271,-76.91412209171926
116,"9465 Mango Willow",,Philadelphia,PA,68617,USA,39.83756310593738,-75.07397442586397
117,"5289 Oak Oak",,Philadelphia,PA,35552,USA,40.03710971065525,-75.24456449930808
118,"658 Yew Pewter",,Nashville,TN,16763,USA,36.150473534683634,-86.94293452992854
119,"9505 Pewter Elm",,Houston,TX,06472,USA,29.606357289318236,-95.00869593310846
120,"429 Zelkova Pine",,Charlotte,NC,67539,USA,35.28866157711425,-80.75144568924243
121,"2370 Maple Silk",,Jacksonville,FL,15525,USA,30.193035121436864,-81.44109912480441
