id,name,restaurant_url,image_url,phone_number,address_id,enabled,description
46,Thyme,http://thyme.com,http://thyme.com/images/thyme.jpg,047639008,106,1,"smoky filling modern spicy innovative tasty braised."
47,Mint,http://mint.com,http://mint.com/images/mint.jpg,510711758,107,1,"tender exceptional filling sumptuous delicious."
48,Orchid,http://orchid.com,http://orchid.com/images/orchid.jpg,678128965,108,1,"spicy refined melted sumptuous memorable."
49,Phoenix,http://phoenix.com,http://phoenix.com/images/phoenix.jpg,807304272,109,1,"signature gourmet traditional tangy zesty melted modern timeless."
50,Zest,http://zest.com,http://zest.com/images/zest.jpg,360561496,110,1,"tasty memorable juicy smoky refined exceptional."
51,Nectar,http://nectar.com,http://nectar.com/images/nectar.jpg,229942216,111,1,"timeless baked fried sweet spicy bright crunchy nutritious."
52,Kraken,http://kraken.com,http://kraken.com/images/kraken.jpg,350502323,112,1,"exceptional tangy nutritious savory seasoned."
53,Flavor,http://flavor.com,http://flavor.com/images/flavor.jpg,250058839,113,1,"tender marinated modern wholesome toasted timeless steamed."
54,Maple,http://maple.com,http://maple.com/images/maple.jpg,053459122,114,1,"rich melted memorable signature zesty sumptuous."
55,Bliss,http://bliss.com,http://bliss.com/images/bliss.jpg,478727524,115,1,"traditional magnificent fried tender toasted."
56,Blues,http://blues.com,http://blues.com/images/blues.jpg,437915856,116,1,"modern rich seasoned gourmet."
57,Bistro,http://bistro.com,http://bistro.com/images/bistro.jpg,343130789,117,1,"roasted braised seasoned bright smoky."
58,Mosaic,http://mosaic.com,http://mosaic.com/images/mosaic.jpg,145160084,118,1,"filling delectable juicy toasted crisp."
59,Jazz,http://jazz.com,http://jazz.com/images/jazz.jpg,300194243,119,1,"spicy innovative creative nutritious fresh."
60,"The Harp",http://harp.com,http://harp.dom/images/harp.jpg,2001653589,120,1,"like angels singing in the air "
